2 4831 1
2 2239 1
2 12481 1
2 6345 1
2 13514 1
2 20171 1
2 13516 3
2 18639 1
2 4304 1
2 7892 1
2 19072 1
2 11385 1
2 10972 2
2 15994 1
2 10975 2
2 2273 1
2 20194 1
2 1147 1
2 7396 1
2 13030 1
2 13033 1
2 7117 1
2 7915 1
2 12089 1
2 9458 1
2 4543 1
2 18559 1
2 18174 1
2 1280 1
2 8961 2
2 3332 1
2 2309 1
2 10625 1
2 4360 1
2 18185 1
2 20746 1
2 16651 1
2 4364 5
2 8749 2
2 2836 1
2 18197 1
2 22489 1
2 17688 2
2 19740 1
2 7453 1
2 17184 1
2 3365 1
2 19238 1
2 10026 1
2 15666 2
2 1757 1
2 2124 1
2 7474 1
2 16691 1
2 6457 1
2 5435 1
2 20284 2
2 16190 3
2 17727 2
2 3393 1
2 3395 1
2 6982 1
2 9033 2
2 9035 1
2 17229 1
2 4942 1
2 12625 1
2 20818 1
2 14677 1
2 9047 1
2 18042 1
2 6489 2
2 9562 1
2 18267 2
2 14689 3
2 14690 1
2 2407 1
2 20328 1
2 8556 1
2 18817 1
2 17470 1
2 18808 1
2 17785 1
2 18812 1
2 9600 1
2 897 2
2 21739 2
2 19332 1
2 12288 2
2 16193 1
2 8684 1
2 17806 1
2 22416 1
2 22418 2
2 8088 1
2 17818 1
2 15119 1
2 22442 4
2 22345 1
2 12216 2
2 3060 1
2 3629 1
2 16831 1
2 8641 3
2 22572 1
2 20299 1
2 13252 3
2 2487 1
2 13255 4
2 3017 1
2 20427 1
2 20429 2
2 14592 2
2 9167 1
2 9684 1
2 3340 1
2 9687 1
2 18905 3
2 18906 1
2 16347 1
2 10205 1
2 10206 1
2 1141 1
2 19938 2
2 22500 2
2 15845 1
2 20817 3
2 12888 1
2 13804 1
2 20463 3
2 5618 1
2 20468 2
2 5289 1
2 17202 1
3 7937 1
3 7426 1
3 22030 1
3 22032 1
3 18963 1
3 19478 1
3 22551 1
3 6685 1
3 5150 2
3 22568 1
3 22571 1
3 9264 1
3 12341 1
3 12354 1
3 14689 1
3 11732 1
3 13389 1
3 12878 3
3 22100 1
3 13398 1
3 15448 1
3 18528 1
3 12899 1
3 16998 1
3 22119 1
3 18540 1
3 18030 1
3 13331 1
3 1140 3
3 1141 1
3 18793 1
3 14969 1
3 22140 1
3 2173 1
3 5246 1
3 3711 1
3 13440 1
3 1669 1
3 6791 1
3 13449 1
3 3729 1
3 3730 1
3 2755 1
3 9878 1
3 5785 1
3 13466 1
3 9886 1
3 18080 1
3 17062 1
3 17065 1
3 22188 2
3 14509 1
3 11950 1
3 22557 2
3 15031 1
3 5306 1
3 19133 1
3 11969 1
3 15819 1
3 1225 1
3 5838 2
3 1744 2
3 212 1
3 15785 1
3 11992 1
3 17626 1
3 8927 1
3 13537 1
3 5859 1
3 20774 1
3 8425 1
3 9450 1
3 22262 1
3 16340 1
3 17150 2
3 8961 1
3 7938 1
3 14595 1
3 4868 1
3 18181 1
3 19718 1
3 17671 1
3 17162 1
3 779 1
3 4364 2
3 17679 2
3 20604 1
3 15128 1
3 7451 1
3 797 1
3 19742 1
3 16672 1
